"","cluster","cluster_col"
"SLC2A12","C1","#8DD3C7"
"PPARG","C1","#8DD3C7"
"HSPA12B","C1","#8DD3C7"
"FAM171B","C1","#8DD3C7"
"ADGRA3","C1","#8DD3C7"
"GBA3","C1","#8DD3C7"
"CSMD1","C1","#8DD3C7"
"KIR3DX1","C1","#8DD3C7"
"CGNL1","C1","#8DD3C7"
"RAB6B","C1","#8DD3C7"
"ZNF488","C1","#8DD3C7"
"ZBTB8A","C1","#8DD3C7"
"APCDD1","C1","#8DD3C7"
"SDC2","C1","#8DD3C7"
"B3GNT5","C1","#8DD3C7"
"MAOA","C1","#8DD3C7"
"CADM3","C1","#8DD3C7"
"SUCNR1","C1","#8DD3C7"
"DHRS9","C1","#8DD3C7"
"TSPAN7","C1","#8DD3C7"
"TMPRSS15","C1","#8DD3C7"
"STYK1","C1","#8DD3C7"
"SMAD1","C1","#8DD3C7"
"CSRP2","C1","#8DD3C7"
"CHRDL1","C1","#8DD3C7"
"VWA1","C1","#8DD3C7"
"MMRN1","C2","#FFFFB3"
"SERPINB2","C2","#FFFFB3"
"EPB41L4B","C2","#FFFFB3"
"CXCL5","C2","#FFFFB3"
"TUBB1","C2","#FFFFB3"
"SH3BGRL2","C2","#FFFFB3"
"CHDH","C2","#FFFFB3"
"ADTRP","C2","#FFFFB3"
"CACNA1D","C2","#FFFFB3"
"GJB2","C2","#FFFFB3"
"CYP1A1","C2","#FFFFB3"
"SHANK2","C2","#FFFFB3"
"CDH1","C2","#FFFFB3"
"IL2RB","C2","#FFFFB3"
"SLC22A4","C2","#FFFFB3"
"CCL17","C2","#FFFFB3"
"CSF2","C2","#FFFFB3"
"WNT11","C2","#FFFFB3"
"ARNTL2","C2","#FFFFB3"
"ACTRT3","C2","#FFFFB3"
"HHIP-AS1","C2","#FFFFB3"
"VLDLR","C2","#FFFFB3"
"LOC101928100","C2","#FFFFB3"
"GNAI1","C2","#FFFFB3"
"GNA15","C2","#FFFFB3"
"HAPLN3","C2","#FFFFB3"
"B4GALNT1","C2","#FFFFB3"
"OSM","C2","#FFFFB3"
"PPP1R14A","C2","#FFFFB3"
"ARHGEF17","C2","#FFFFB3"
"VDR","C2","#FFFFB3"
"FOSL2","C2","#FFFFB3"
"COLCA2","C2","#FFFFB3"
"HLX","C2","#FFFFB3"
"FLT1","C2","#FFFFB3"
"IL4I1","C2","#FFFFB3"
"INSM1","C2","#FFFFB3"
"HRH1","C2","#FFFFB3"
"HMGN2P46","C2","#FFFFB3"
"NFIL3","C2","#FFFFB3"
"ZNRF1","C2","#FFFFB3"
"KIAA1462","C2","#FFFFB3"
"ITGA1","C2","#FFFFB3"
"MIR548AC","C2","#FFFFB3"
"KCP","C2","#FFFFB3"
"ADGRD1","C2","#FFFFB3"
"IL17REL","C2","#FFFFB3"
"NLGN4X","C2","#FFFFB3"
"ASCL1","C2","#FFFFB3"
"GPR15","C2","#FFFFB3"
"TMPRSS3","C2","#FFFFB3"
"LINC00996","C3","#BEBADA"
"SLC29A4","C3","#BEBADA"
"NID2","C3","#BEBADA"
"SMAD6","C3","#BEBADA"
"C3AR1","C3","#BEBADA"
"MTRNR2L2","C3","#BEBADA"
"LINC01033","C3","#BEBADA"
"UNQ6494","C3","#BEBADA"
"ASB14","C3","#BEBADA"
"HBG1","C3","#BEBADA"
"HBA1","C3","#BEBADA"
"CHRNG","C3","#BEBADA"
"MTRNR2L3","C3","#BEBADA"
"HRASLS","C3","#BEBADA"
"ADGRF2","C3","#BEBADA"
"GRTP1","C3","#BEBADA"
"OPA1-AS1","C3","#BEBADA"
"PCP2","C3","#BEBADA"
"BAALC","C3","#BEBADA"
"DLEU7-AS1","C3","#BEBADA"
"EQTN","C3","#BEBADA"
"CLEC1B","C3","#BEBADA"
"ACSM1","C3","#BEBADA"
"ZNF521","C3","#BEBADA"
