replicate,logFC,AveExpr,t,P.Value,adj.P.Val,B
83937,-0.5159783884460678,5.209928804629697,-3.1377029272498542,0.0022649854968328506,0.9997782268743401,-2.428424937841411
23654,-0.5218906646685939,6.900480719672999,-3.174042606727856,0.0020236232452332703,0.9997782268743401,-2.4535938452989767
374882,-0.34864170961557495,3.9940701087109303,-3.1910950192838454,0.0019188285725290505,0.9997782268743401,-2.514402267803614
912,-0.3903660608180841,5.098904225250862,-3.038298192623295,0.0030688625357411605,0.9997782268743401,-2.5814619770708473
5292,0.3341325060269478,7.1603602527316506,3.025422574588781,0.003190459003737619,0.9997782268743401,-2.6983677170832636
64759,-0.47513127440902636,4.815371503142566,-2.9694686548194085,0.0037724610508778553,0.9997782268743401,-2.703661556709533
6659,-0.44067453487825636,4.062204373915528,-2.9461157182242985,0.004043182662044289,0.9997782268743401,-2.832785370267519
1742,-0.4670862377393359,3.10629618816661,-3.125832685203442,0.002349459194223291,0.9997782268743401,-2.834338753594979
54504,-0.5228158823490379,6.897949030987803,-2.8730219784753404,0.005010511596405399,0.9997782268743401,-2.8873738261546262
8685,-0.859877268941486,2.65113990539021,-3.212956651962974,0.0017918780966083756,0.9997782268743401,-2.9018739054245275
10903,-0.5242863093817949,4.45595168326068,-2.8463366654088027,0.005413700838965981,0.9997782268743401,-2.9176468826183406
945,-0.3568061083357277,5.316755961527906,-2.7918410125149107,0.006330945046600665,0.9997782268743401,-2.9317363687472544
144402,-0.39352421858831255,4.157002745068547,-2.8585615079859905,0.005225438084188971,0.9997782268743401,-2.9393022610222532
1500,-0.3416407675791877,4.185700941785104,-2.8493105328437136,0.005367339232624209,0.9997782268743401,-2.9399221649338436
4668,-0.3484679458905946,5.9725554576244795,-2.7827433307318192,0.006497237984770557,0.9997782268743401,-2.9523669970551185
948,-0.47254133406780063,8.115699743334941,-2.8894468583989172,0.004776253963767958,0.9997782268743401,-2.9593957012198864
100528016,-0.30360649627825786,4.342992903601297,-2.805019854346707,0.006096948131491846,0.9997782268743401,-2.9781335158713107
57698,-0.4977039887852177,4.824353354900315,-2.754305919853548,0.007043094327985643,0.9997782268743401,-3.0077988018644852
942,-0.4271761175322517,5.654477998779261,-2.7319285217530846,0.007501686473660223,0.9997782268743401,-3.0152617338534378
10491,-0.31478436636398754,6.0715848972926745,-2.7384378931376245,0.007365557645912306,0.9997782268743401,-3.021511859317661
64231,-0.4127060363204711,7.739548610181902,-2.8018183620133525,0.006153053090535152,0.9997782268743401,-3.039874839145927
91050,-0.4123806594497288,3.399257694158083,-2.8872243435958214,0.004807352257681994,0.9997782268743401,-3.043475905027805
56606,-0.4206711421429925,3.452014641266862,-2.855311358175476,0.0052748952625202555,0.9997782268743401,-3.074484458968132
3913,-0.6885893943431047,1.4093083493475254,-3.3844839627882424,0.001036078420214154,0.9997782268743401,-3.094534131819999
55160,-0.5078106481346887,3.9566643459104096,-2.749095471663571,0.007147530707280577,0.9997782268743401,-3.103597389528711
8776,0.21555616336486239,5.724054557654818,2.6641599480863243,0.009061237413396367,0.9997782268743401,-3.1074275986860784
5452,-0.32819868584189305,6.8781746029831,-2.703117794589866,0.008132134387227902,0.9997782268743401,-3.109607665496867
