"","ID","Gene.symbol"
"8040614",8040614,""
"7899615",7899615,"SERINC2"
"8168644",8168644,""
"7939559",7939559,"TSPAN18"
"8136159",8136159,""
"8066983",8066983,""
"8110169",8110169,"FAF2"
"7967620",7967620,""
"8062527",8062527,"ADIG"
"8018816",8018816,""
"8037331",8037331,"XRCC1"
"7910899",7910899,""
"8011141",8011141,"PRPF8///PRPF8"
"8117339",8117339,"HIST1H3C"
"8180209",8180209,"FLJ35934"
"8081065",8081065,""
"7934215",7934215,"SPOCK2"
"8178727",8178727,"TNXB///ATF6B"
"7948997",7948997,"ATL3"
"8128618",8128618,""
"7911108",7911108,""
"8020973",8020973,"FHOD3"
"7926330",7926330,"MEIG1"
"8007471",8007471,"NBR1"
"7904879",7904879,""
"8091241",8091241,""
"8154656",8154656,"DMRTA1"
"8115168",8115168,"RBM22"
"8180166",8180166,"TAPBP"
"7912804",7912804,"LOC100132147"
"8023080",8023080,"LOXHD1"
"7906969",7906969,""
"8133219",8133219,""
"8130185",8130185,"ZBTB2"
"8115076",8115076,"CSF1R"
"8108927",8108927,"RBM27"
"8124446",8124446,""
"8001938",8001938,"TRADD"
"8160452",8160452,"CDKN2B"
"8100376",8100376,""
"7929334",7929334,"CEP55"
"7900538",7900538,""
"7921873",7921873,"FCGR3B///FCGR3A"
"7985930",7985930,""
"8089771",8089771,"CD80"
"8107671",8107671,""
"8080878",8080878,"ATXN7"
"8116577",8116577,""
"8002762",8002762,"RFWD3"
"7900833",7900833,"KDM4A"
"7929258",7929258,"KIF11"
"8055488",8055488,""
"8133662",8133662,"RHBDD2"
"8036143",8036143,"U2AF1L4"
"8014158",8014158,""
"7948379",7948379,"OSBP"
"8088128",8088128,"DCP1A"
"8065330",8065330,""
"7961602",7961602,""
"8104447",8104447,""
"7998449",7998449,"TSR3"
"8175153",8175153,""
"7930074",7930074,"NFKB2"
"8086482",8086482,"ZNF445"
"7999173",7999173,"UBALD1"
"8055104",8055104,"SAP130"
"8169249",8169249,"MID2"
"7898975",7898975,"SRRM1"
"8144951",8144951,""
"8093272",8093272,"ANKRD18DP"
"8148057",8148057,""
"7898957",7898957,"RCAN3"
"8070458",8070458,"PLAC4"
"8106189",8106189,""
"8027139",8027139,"RFXANK"
"7926563",7926563,""
"8136869",8136869,"CASP2"
"7979510",7979510,"SIX4"
"7997852",7997852,"TRAPPC2L"
"8170187",8170187,"CD40LG"
"7900699",7900699,"CDC20"
"7995419",7995419,""
"8075089",8075089,"TFIP11"
"8033075",8033075,"RANBP3"
"8006690",8006690,"AATF"
"8074371",8074371,"DGCR14"
"7965721",7965721,""
"8127991",8127991,""
"7954995",7954995,""
"8122259",8122259,""
"8046906",8046906,"GULP1"
"7899654",7899654,"KHDRBS1"
"8168500",8168500,"PGK1"
"8115873",8115873,""
"8127542",8127542,""
"8098995",8098995,"MXD4"
"8037179",8037179,"CNFN"
"7985873",7985873,"TICRR"
"7921425",7921425,""
"8163807",8163807,"PHF19"
"7905085",7905085,"HIST2H3D///HIST2H3A///HIST2H3C"
"7919614",7919614,"HIST2H3D///HIST2H3A///HIST2H3C"
"8050687",8050687,""
"8021228",8021228,"SMAD4"
"8172086",8172086,""
"7980403",7980403,"VIPAS39"
"8167797",8167797,"GNL3L"
"7994109",7994109,"PLK1"
"8107066",8107066,"LNPEP"
"8063394",8063394,"PTPN1"
"8140420",8140420,"FDPSP2///FDPS"
"7897661",7897661,""
"8176395",8176395,""
"8107204",8107204,""
"7953981",7953981,"ETV6///INO80D"
"8176986",8176986,"PPP2R3B"
"8169263",8169263,"VSIG1"
"7898675",7898675,""
"8128865",8128865,""
"8089818",8089818,""
"8034304",8034304,"ACP5"
"8077526",8077526,""
"7959386",7959386,"LRRC43"
"8016213",8016213,""
"8014485",8014485,""
"7908496",7908496,"CFHR2"
"7973983",7973983,""
"8071541",8071541,"TMEM191B///TMEM191C///TMEM191A"
"8010983",8010983,"ABR"
"8040486",8040486,""
"8035234",8035234,""
"7930921",7930921,"BAG3"
"8056837",8056837,"GPR155"
"8076185",8076185,"CBX7"
"8001537",8001537,"FAM192A"
"7902518",7902518,"GIPC2"
"7974255",7974255,""
"7946851",7946851,""
"7933772",7933772,"ANK3"
"8018652",8018652,"RNF157"
"8084122",8084122,""
"8178977",8178977,"TAPBP"
"8101607",8101607,""
"8051744",8051744,""
"8034605",8034605,"GADD45GIP1"
"8142087",8142087,"ATXN7L1"
"8072757",8072757,"CSF2RB"
"8045142",8045142,"MZT2B///PHGDH"
"8128624",8128624,""
"8108180",8108180,""
"7957604",7957604,""
"8178377",8178377,"DHX16"
"8022882",8022882,"ZNF24"
"8137089",8137089,""
"8109486",8109486,""
"7977693",7977693,"CHD8"
"8124775",8124775,"DHX16"
"7970542",7970542,""
"8039090",8039090,""
"7908157",7908157,""
"7930031",7930031,"GBF1"
"7972157",7972157,"EDNRB"
"8027862",8027862,"FFAR2"
"7945226",7945226,""
"8102232",8102232,"LEF1"
"8058344",8058344,""
"7908940",7908940,"ATP2B4"
"8164155",8164155,"PPP6C"
"8118613",8118613,"SLC39A7"
"8178225",8178225,"SLC39A7"
"8179525",8179525,"SLC39A7"
"8002729",8002729,"GLG1"
"8177217",8177217,"TTTY14"
"8175998",8175998,"MECP2"
"8174322",8174322,"MORC4"
"7952739",7952739,"ZBTB44"
"8062794",8062794,"TOX2"
"8023323",8023323,"MBD1"
"8010664",8010664,"MRPL12"
"7905185",7905185,"RPRD2"
"8063893",8063893,"ADRM1"
"7964594",7964594,""
"8040018",8040018,"TRAPPC12"
"8118818",8118818,""
"7963577",7963577,"SPRYD3"
