"","Symbol","log2FoldChange","pvalue"
"1","DDX11L1",-1.09302640070744,0.00013182033912202
"2","WASH7P",-0.0489888941081448,0.612569300235645
"3","MIR6859-1",-0.030330822293772,0.841918327964383
"4","LOC100996442",-0.375085780644607,0.028443156762239
"5","LOC729737",-0.436807125281394,0.0017023148091495
"6","DDX11L17",-1.16833093289741,2.76341484026354e-05
"7","WASH9P",-0.0713080676038299,0.421038076620282
"8","MIR6859-2",-0.0629015977999073,0.686935432965657
"9","LOC112268260",-0.492223555270958,0.02502429949203
"10","LOC100132287",-0.343443812156693,0.0147812809449147
"11","LOC105378947",-0.585531496001529,0.0685994472031251
"12","MIR12136",-0.090239224621438,0.762876332102093
"13","OR4F16",-0.412967105816083,0.0841869605122315
"14","LOC100133331",-0.287782799986926,0.0472090789158677
"15","LOC107984841",-0.365388032730653,0.011557081310075
"16","LOC107984847",-0.322016654002779,0.0379911828307672
"17","LOC107984849",-0.339368705185916,0.0347294006550177
"18","LOC100288069",-0.324962062710876,0.0299242397643781
"19","LINC01409",0.249949714848739,0.0581324792610685
"20","FAM87B",0.157734154765637,0.278172321223502
"21","LINC00115",4.55316805525498e-05,0.999758022928589
"22","LINC01128",0.851486541893616,1.23242149594218e-09
"23","SAMD11",0.24234445065842,0.0620443759818263
"24","NOC2L",0.156854800925793,0.0845753183506607
"25","KLHL17",0.351318970438517,0.0121481037185543
"26","PLEKHN1",0.0691298813744115,0.76770307558093
"27","HES4",-0.851414135132395,0.0621167258276272
"28","ISG15",-1.2633783255991,0.0125292298909576
"29","AGRN",-0.757456634356025,0.064504787215233
"30","LOC100288175",1.34233518325909,2.23345447596483e-06
"31","LOC105378948",0.959969008851935,4.14298386490945e-05
"32","C1orf159",0.328326111471082,0.0281320847661829
"33","TNFRSF18",-0.0198704707421232,0.933212352362165
"34","TNFRSF4",0.770099873403356,0.00276706192565756
"35","SDF4",-0.0385006905910571,0.539258527469678
"36","B3GALT6",0.247448700781618,0.013973441489333
"37","UBE2J2",-0.139256397128466,0.0229988965138884
"38","LINC01786",0.78223236600987,0.0010054123047139
"39","SCNN1D",0.855335459014402,6.69704691753793e-05
"40","ACAP3",-0.108805998140209,0.326436377708616
"41","SNORD167",-0.299582548055877,0.0863712457148433
"42","PUSL1",0.0602391524358267,0.681801130539722
"43","INTS11",0.13712806076464,0.038162256561463
"44","CPTP",-0.0711036261126948,0.522557266979736
"45","TAS1R3",0.105991184228124,0.594456209485827
"46","DVL1",0.336463354373657,0.00484065832589907
"47","MXRA8",0.28448353443852,0.156976195358992
"48","AURKAIP1",-0.147761045268384,0.108830886008071
"49","CCNL2",0.251698594254504,0.00255707021432429
"50","MRPL20-AS1",0.172054693126372,0.0147307258016808
"51","MRPL20",0.132283980431677,0.0322179782035546
"52","ATAD3C",0.967574910247132,7.66395818107216e-07
"53","ATAD3B",0.474891119257479,9.93314567846629e-05
"54","ATAD3A",0.246470819908152,0.0213414350574835
"55","SSU72",-0.0506225625927643,0.472755432617108
"56","FNDC10",0.3271749220941,0.0826359541509001
"57","LOC105378586",0.183616176863549,0.266538620870252
"58","MIB2",0.127049764507737,0.306950059644531
"59","MMP23B",0.14864366989348,0.329706075176895
"60","CDK11B",0.0788609383275397,0.235221510493308
"61","SLC35E2B",-0.0286714261637856,0.773231009062399
"62","MMP23A",-0.785969522954468,0.102420302697713
"63","CDK11A",0.0785783152941643,0.354879753660769
"64","SLC35E2A",-0.00909842863732626,0.943831991969804
"65","LOC112268218",-0.305640740625965,0.00946878724515143
"66","NADK",-0.349693305587431,0.0017645654356521
"67","GNB1",-0.20408506041585,0.0003710481632712
"68","PRKCZ",0.251308779885335,0.0253045729612376
"69","PRKCZ-AS1",0.0700468200132352,0.622466613266076
"70","FAAP20",0.00379246557395419,0.971629877744768
"71","LOC112268219",-0.0885581584869301,0.468390398059885
"72","SKI",0.327490121301412,0.00554077998979175
"73","MORN1",0.261083904457165,0.100323151208475
"74","LOC100129534",0.576250936303548,0.00807721247138802
"75","RER1",-0.0623082645439323,0.254392727061018
"76","PEX10",0.107671844413399,0.115639015594348
"77","PLCH2",0.714489107830846,0.000721182215378851
"78","PANK4",0.125987830019889,0.0932380520348101
"79","TNFRSF14-AS1",-0.0563635459084369,0.582561325507152
"80","TNFRSF14",-0.0314270840197853,0.752843558159195
"81","LOC100996583",0.86840743135086,8.58952053772804e-08
"82","PRXL2B",0.359683289755899,0.00225734643141636
"83","MMEL1",0.117636759168246,0.418752755082454
"84","TTC34",0.887469030389749,0.000788125086380728
"85","MEGF6",0.46358042888314,0.0170132161563184
"86","TPRG1L",0.0237030612788343,0.796221656006128
"87","WRAP73",-0.216142713296059,0.00428368613324472
"88","TP73",0.402119948506104,0.0614225870198777
"89","TP73-AS1",0.419451410183474,5.99725987558413e-05
"90","LRRC47",0.179579535640705,0.0001427529427306
"91","CEP104",0.18043286957801,0.00839245566936838
"92","DFFB",0.419219451190204,1.0058566612771e-08
"93","LOC107984910",0.397906333307922,0.0974735626892247
"94","C1orf174",0.221623039125759,0.000376924365011329
