"","Symbol","log2FoldChange","pvalue"
"1","DDX11L1",-0.695025245292794,0.00470351818482715
"2","WASH7P",-0.134156409066134,0.106224305016694
"3","MIR6859-1",-0.145020703112086,0.283427051342746
"4","LOC100996442",-1.01130654271123,4.94494564647721e-12
"5","LOC729737",-0.972997472430536,3.04797685775508e-16
"6","DDX11L17",-0.642527175046566,0.0073377469846658
"7","WASH9P",-0.186448614405623,0.0142408600062071
"8","MIR6859-2",-0.253977047418458,0.0660241513112854
"9","LOC112268260",-1.262716936038,1.72633332955898e-11
"10","LOC100132287",-0.914861630259648,3.15891035573732e-14
"11","LOC105378947",-1.25566570000108,4.96682916576223e-06
"12","MIR12136",0.3941627352133,0.12354139248396
"13","OR4F16",-1.57419376730846,1.11159576803107e-14
"14","LOC100133331",-0.884917739530562,9.74115951449091e-13
"15","LOC107984841",-0.848692156039462,7.09065437373256e-12
"16","LOC107984847",-0.878215608648889,3.69909146383439e-11
"17","LOC107984849",-0.948069549829697,5.30904742440792e-12
"18","LOC100288069",-0.870189778036494,1.07055260412295e-11
"19","LINC01409",0.162339310776757,0.156053898540127
"20","FAM87B",0.150868366099064,0.240760535525112
"21","LINC00115",0.0386399263105485,0.771860486865616
"22","LINC01128",1.76138165352568,3.87830633839664e-46
"23","SAMD11",0.41418404615613,0.000327330848204488
"24","NOC2L",0.411865063013944,1.45672561275141e-07
"25","KLHL17",0.546449696029889,6.67399843681577e-06
"26","PLEKHN1",0.00669552537327739,0.97397371833981
"27","HES4",0.167269662835172,0.675652262926754
"28","ISG15",-1.5545626110354,0.000328394821192435
"29","AGRN",-0.611840202610869,0.0812521483658756
"30","LOC100288175",1.96275385721744,1.2148001940927e-12
"31","LOC105378948",1.93733220312784,1.36179623863578e-18
"32","C1orf159",0.977496614225686,1.42899263486471e-13
"33","TNFRSF18",3.07497004258317,1.63221459074676e-31
"34","TNFRSF4",2.74982774135572,1.00908477215282e-29
"35","SDF4",-0.0757415234908718,0.159511176209427
"36","B3GALT6",0.654032119279862,1.2705228757519e-13
"37","UBE2J2",-0.326546118770453,5.44002526853883e-10
"38","LINC01786",1.43856048038533,4.3988424540957e-11
"39","SCNN1D",1.47657105806333,1.11076603297231e-14
"40","ACAP3",-0.0507846444731009,0.59331833398535
"41","SNORD167",-0.00823543591719615,0.960753940604875
"42","PUSL1",0.111011675130161,0.38344444019743
"43","INTS11",0.097580440522532,0.0858505246671221
"44","CPTP",-0.0362705547333027,0.706183150021193
"45","TAS1R3",0.0754844586290329,0.664145064234724
"46","DVL1",0.577264490386253,2.34724112118677e-08
"47","MXRA8",1.02186150843268,1.29359888026372e-08
"48","AURKAIP1",-0.507176487389942,1.32474633655549e-10
"49","CCNL2",0.422652507567151,3.31630301051299e-09
"50","MRPL20-AS1",0.185926907217698,0.00238668293464464
"51","MRPL20",0.243377083428651,6.07060384729775e-06
"52","ATAD3C",1.78896308047411,2.6103575844657e-20
"53","ATAD3B",1.0008590075172,3.02301913175181e-21
"54","ATAD3A",0.545033106211815,7.00225948058675e-09
"55","SSU72",-0.360455648679573,2.34492495604222e-09
"56","FNDC10",0.399573172407585,0.0145737933284294
"57","LOC105378586",-0.135698707517931,0.342978870300844
"58","MIB2",0.492158537950237,4.16217536989239e-06
"59","MMP23B",0.357919131657073,0.00720818527757803
"60","CDK11B",-0.228174487183682,6.03376035398557e-05
"61","SLC35E2B",-0.0679386296800971,0.424971930931707
"62","MMP23A",1.00765361901147,0.0173490588328816
"63","CDK11A",-0.202219069947042,0.00541374660852313
"64","SLC35E2A",0.158576045080301,0.15148629843092
"65","LOC112268218",-0.908729760704471,1.8882658865152e-19
"66","NADK",-0.929506622653578,2.52239931469881e-22
"67","GNB1",-0.550144476995361,3.35643451818664e-29
"68","PRKCZ",-0.0195882122766183,0.838787254118909
