Gene.symbol,logFC,P.Value
FCRL3,1.022143,2.62682696336069e-05
ARPC1B,0.657668286,2.68180167996347e-05
GIMAP4,0.807811277,2.98166251677884e-05
CD300C,0.473196098,3.07292531302731e-05
RAD51AP1,0.355480875,3.0917853583698e-05
NCF2,0.91334083,3.15226769422445e-05
TM6SF1,0.666012446,3.2414378906548e-05
CLIC2,0.799527321,3.28834818589946e-05
INPP5D,0.81710817,3.32676534011538e-05
TSPYL1,-0.282196964,3.53353400588464e-05
ARL11,0.348875491,3.75530870405093e-05
SH2B3,0.415408786,3.76041815889402e-05
APOL1,0.565993205,3.81180254064916e-05
XCL2,0.636088625,3.83527018854643e-05
IGFLR1,0.596225446,3.85708421898688e-05
NOS3,0.4321665,3.89910185051324e-05
PRKCB,0.867677821,3.92167730719143e-05
CTSS,1.104661696,3.9940556102136e-05
CD72,0.79809483,4.00363785277124e-05
CFP,0.514585839,4.02517148907412e-05
MB21D1,0.755532036,4.0717148592112e-05
HAPLN1,0.74191667,4.27848140196469e-05
DDIAS,0.389904982,4.28500335276899e-05
APOBEC3F,0.565719937,4.29110344013183e-05
HLA-DQA2///HLA-DQA1,0.973854036,4.41444161690602e-05
PMAIP1,0.653805946,4.42041542060224e-05
TCAF2P1///TCAF2,0.38312675,4.44855185132074e-05
HLA-DQA2///HLA-DQA1,0.987048107,4.4632557345807e-05
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,0.640095625,4.54133270143499e-05
SELE,1.040481795,4.62146490445934e-05
IL2RG,1.336984491,4.65866179421337e-05
LILRA6,0.668455089,4.69228461584762e-05
,-0.293213455,4.83214344603132e-05
FCGR1CP///FCGR1B///FCGR1A,1.234551429,4.85386349772984e-05
PIK3CG,0.972285286,4.95333667244646e-05
SPI1,0.542138196,5.01329302947881e-05
ITGB2,0.843048295,5.06439913558787e-05
CCR5,0.338742063,5.08001149651337e-05
CCR5,0.338742063,5.08001149651337e-05
FAM26F,0.503270786,5.10726899226603e-05
ADAMTS6,0.363791045,5.13271090303622e-05
UCP2,0.889095241,5.13751476560326e-05
FPR2,0.506471786,5.15884402063329e-05
RHBDL1,-0.274060232,5.18549823339756e-05
HVCN1,0.479899545,5.33180054068938e-05
CD48,1.297278857,5.35730656137717e-05
CHN1,0.553039848,5.40880889429004e-05
CARD16,0.673512339,5.42420495451109e-05
SH2D3C,0.327629054,5.45406750193445e-05
FAR2,0.649075634,5.47940205090943e-05
LCP1,1.153895098,5.48441803082091e-05
HLA-DPB1,0.747865625,5.59865478607587e-05
TM4SF1,0.5707485,5.62976488379404e-05
FCGR1CP///FCGR1B///FCGR1A,1.24316458,6.15855184756675e-05
CD300A,0.600176821,6.20158236523341e-05
NFE2L3,0.610375152,6.49714281239693e-05
UBASH3B,0.485803384,6.55522367156806e-05
MYBL1,0.791434491,6.73812655367335e-05
PRF1,0.856344214,6.84411820435466e-05
NRROS,0.335664955,6.92884623010236e-05
GCNT1,0.550072607,6.95726441876699e-05
HIST1H3H///HIST1H2AI,0.470311232,7.01524619770082e-05
OAS2,0.862250937,7.04784574919828e-05
ITGAX,0.941134179,7.12314531824964e-05
TLR4,0.63622783,7.21690981823146e-05
FGD3,0.389282545,7.23404140840457e-05
STARD4,0.59189617,7.2775975232738e-05
PATL2,0.379778295,7.28689948918241e-05
CD33,0.646391134,7.28694492041517e-05
TLR7,0.911614429,7.2875015063154e-05
NOD2,0.409684366,7.32579950147172e-05
GRK3,0.545550402,7.33425660472156e-05
TXK,0.475106348,7.56590301681163e-05
TCAF2P1///TCAF2,0.34617525,7.60705339420286e-05
RNF125,0.771053598,7.78782519321469e-05
HLA-DPA1,0.725716161,7.91409976196317e-05
CD300E,0.446329429,7.91569616760547e-05
APOBEC3A_B///APOBEC3A,0.907803982,7.94473979672055e-05
HIST1H2BJ,0.252673991,8.11994588842458e-05
ENG,0.406164054,8.48428983732138e-05
GIMAP1-GIMAP5///GIMAP5,0.752889705,8.50201868703084e-05
CALHM2,0.435501884,8.58788029053147e-05
PECAM1,0.583192518,8.78729074253164e-05
GRAPL///GRAP,0.429723652,8.88509050483764e-05
SPN,0.670495786,8.98693273542998e-05
