"","Symbol","log2FoldChange","pvalue"
"1","DDX11L1",-0.398001155414641,0.166092729192882
"2","WASH7P",0.0851675149579893,0.382685968587812
"3","MIR6859-1",0.114689880818314,0.467330733361671
"4","LOC100996442",0.636220762066622,0.000218279308954019
"5","LOC729737",0.536190347149142,0.00012825430227934
"6","DDX11L17",-0.525803757850844,0.0606065050670434
"7","WASH9P",0.115140546801793,0.197525559906553
"8","MIR6859-2",0.191075449618551,0.235409439737574
"9","LOC112268260",0.77049338076704,0.00046022374082173
"10","LOC100132287",0.571417818102955,5.50650472801399e-05
"11","LOC105378947",0.67013420399955,0.0336763668752312
"12","MIR12136",-0.484401959834738,0.107450874548594
"13","OR4F16",1.16122666149238,1.18967745783213e-06
"14","LOC100133331",0.597134939543636,4.2286431041946e-05
"15","LOC107984841",0.483304123308809,0.000889845958346026
"16","LOC107984847",0.55619895464611,0.00036391081265848
"17","LOC107984849",0.608700844643781,0.000163045119697971
"18","LOC100288069",0.545227715325618,0.000291094840773127
"19","LINC01409",0.0876104040719823,0.517117448178631
"20","FAM87B",0.00686578866657349,0.963878861631616
"21","LINC00115",-0.0385943946299959,0.804165482510841
"22","LINC01128",-0.909895111632063,3.73499466992887e-10
"23","SAMD11",-0.171839595497709,0.205652361411942
"24","NOC2L",-0.255010262088151,0.00560199522862272
"25","KLHL17",-0.195130725591372,0.172070835233237
"26","PLEKHN1",0.0624343560011341,0.795681809418984
"27","HES4",-1.01868379796757,0.0279686909841091
"28","ISG15",0.2911842854363,0.56718027315539
"29","AGRN",-0.145616431745157,0.723807989862769
"30","LOC100288175",-0.620418673958353,0.0646474370182589
"31","LOC105378948",-0.977363194275905,0.000160786801031406
"32","C1orf159",-0.649170502754605,2.81291070534236e-05
"33","TNFRSF18",-3.09484051332529,2.7960828814278e-26
"34","TNFRSF4",-1.97972786795236,1.77132383424514e-12
"35","SDF4",0.0372408328998147,0.556030243687784
"36","B3GALT6",-0.406583418498244,8.73191009816637e-05
"37","UBE2J2",0.187289721641988,0.0024194268863612
"38","LINC01786",-0.65632811437546,0.0110202017533424
"39","SCNN1D",-0.621235599048927,0.0059536679379632
"40","ACAP3",-0.0580213536671084,0.603512748068744
"41","SNORD167",-0.29134711213868,0.118996099997134
"42","PUSL1",-0.0507725226943338,0.734218425291706
"43","INTS11",0.0395476202421084,0.553920167222719
"44","CPTP",-0.0348330713793921,0.757376849614056
"45","TAS1R3",0.0305067255990908,0.881379664640649
"46","DVL1",-0.240801136012596,0.0477975533626456
"47","MXRA8",-0.737377973994159,0.000449738369515361
"48","AURKAIP1",0.359415442121558,0.000106001547344024
"49","CCNL2",-0.170953913312648,0.0418944111455182
"50","MRPL20-AS1",-0.0138722140913259,0.847323075014706
"51","MRPL20",-0.111093102996974,0.0788039789808312
"52","ATAD3C",-0.821388170226978,0.000351792955949623
"53","ATAD3B",-0.525967888259725,2.35966692528379e-05
"54","ATAD3A",-0.298562286303663,0.00694499083120265
"55","SSU72",0.309833086086809,1.26342035496179e-05
"56","FNDC10",-0.0723982503134855,0.707501455069204
"57","LOC105378586",0.31931488438148,0.0625407481637987
"58","MIB2",-0.3651087734425,0.00365916430650525
"59","MMP23B",-0.209275461763593,0.180842839667753
"60","CDK11B",0.307035425511221,4.45886204623845e-06
"61","SLC35E2B",0.0392672035163115,0.694908939554852
"62","MMP23A",-1.79362314196594,0.000267960436347552
"63","CDK11A",0.280797385241206,0.00102478077862453
"64","SLC35E2A",-0.167674473717628,0.197046521006981
"65","LOC112268218",0.603089020078505,3.52570150705704e-07
"66","NADK",0.579813317066147,2.52941383161195e-07
"67","GNB1",0.346059416579511,1.95448191449875e-09
"68","PRKCZ",0.270896992161953,0.0169602283452536
"69","PRKCZ-AS1",0.0446656362990563,0.758333762410813
"70","FAAP20",0.0144089254004023,0.893837791118865
"71","LOC112268219",-0.322094207960606,0.0113086408388613
"72","SKI",0.640123651750842,7.05994589294518e-08
"73","MORN1",-0.184566760890949,0.266914545760598
"74","LOC100129534",-0.193212860371271,0.40444386693482
"75","RER1",0.157779575767889,0.0041691539962622
"76","PEX10",-0.0821018045276748,0.24689191331718
"77","PLCH2",-3.40582690126004,3.62789258965644e-50
"78","PANK4",0.231682212831678,0.00224660114814835
"79","TNFRSF14-AS1",0.223655910532202,0.0303077068885392
"80","TNFRSF14",0.297753434364847,0.00302027403017907
"81","LOC100996583",0.504693449666112,0.00298721900935257
"82","PRXL2B",-0.0424287566484003,0.72283348150281
"83","MMEL1",0.129116119477156,0.388969348569978
"84","TTC34",-0.409216220085082,0.149039247145359
"85","MEGF6",0.584927991900412,0.00276377702360063
"86","TPRG1L",0.5229194273259,1.47974431692563e-08
"87","WRAP73",0.204462950101299,0.00728213527653486
"88","TP73",0.0755943151600366,0.738649951461396
"89","TP73-AS1",-0.512912590149711,1.59543880597793e-06
"90","LRRC47",-0.0304127447948544,0.527850564918662
"91","CEP104",-0.119639059718783,0.0844109029773885
"92","DFFB",-0.196855241709921,0.00906252499329645
"93","LOC107984910",-0.12643888983129,0.618578630745539
"94","C1orf174",-0.156366581694855,0.0137859718794562
"95","LINC01134",0.236257863312171,0.293643672781399
"96","LOC107985376",-0.334600478898047,0.173203219703239
"97","AJAP1",-1.04717475972687,0.0103252632493614
"98","NPHP4",-0.0922403684481647,0.329239047509571
"99","KCNAB2",0.0591256142348321,0.45892014202395
"100","CHD5",0.220011698566484,0.467255347382567
"101","RPL22",-0.417038494619036,0.00028232930377767
"102","RNF207",-0.939211336421046,0.000203888890981272
"103","ICMT",-0.299455872658877,0.00356902341986287
"104","GPR153",-0.701737472078034,0.00475601042681206
"105","ACOT7",-0.086000140400754,0.605680776181815
"106","ESPN",-2.78619458437043,1.68112426756896e-15
"107","TNFRSF25",-2.92693144318457,3.82890340722776e-16
"108","PLEKHG5",-2.90502743038197,2.14198901598712e-13
"109","NOL9",-0.484044581374057,5.90460800689631e-07
"110","ZBTB48",0.0733221516778567,0.389556600977519
"111","KLHL21",0.301833309774689,0.00684649480897829
"112","LOC107984913",0.420644177821594,0.0374828828662767
"113","PHF13",0.0416234253197354,0.633991237624171
"114","THAP3",-0.097678981177227,0.166045454468567
"115","DNAJC11",-0.251038518189058,0.00409562100690486
"116","CAMTA1",-0.161873344094734,0.0956752472364793
"117","VAMP3",0.344419583801286,0.00061500064302677
"118","PER3",-0.850342264493284,1.58017182090998e-06
"119","UTS2",-0.619067037443044,0.0060386155348419
"120","TNFRSF9",0.243973602535882,0.212685429568807
"121","PARK7",0.110843574722918,0.0408272696746373
"122","ERRFI1",-0.323292215253513,0.0388529644384301
"123","RERE",0.592614726207789,4.67076065929955e-07
"124","RERE-AS1",0.694312571086762,2.20489832075314e-07
"125","ENO1",0.177394406872364,0.103060763791925
"126","LOC112268261",-2.91450798566891,1.27004015009068e-09
"127","CA6",-2.99287897636124,2.37373006058438e-09
"128","SLC2A5",1.59343071413086,1.5596177172481e-05
"129","GPR157",0.253181379592368,0.254136168783164
"130","MIR34AHG",-2.08591530260931,1.16885575245866e-10
"131","H6PD",0.177625523976798,0.13167677039753
"132","SPSB1",-0.612493104538349,6.066322964559e-05
"133","SLC25A33",-0.301701453916983,0.00735562072481619
"134","TMEM201",-0.719569264440878,1.26726098415992e-07
"135","PIK3CD",0.567168618268945,3.54654010518086e-09
"136","PIK3CD-AS1",0.389402529490099,0.00459687806272928
"137","PIK3CD-AS2",0.354081865737174,0.086786892263767
"138","CLSTN1",-0.294700357433325,3.3060667483727e-05
"139","CTNNBIP1",-0.100368584499815,0.260932148287873
"140","LOC105376717",0.0202069797385308,0.886247756925036
"141","LZIC",0.173070874745075,0.00202482095501107
"142","NMNAT1",0.325452110282908,0.000822864126686234
"143","TMEM274P",0.408139967074553,0.0535564898161838
"144","RBP7",0.846227177335705,1.74743203852436e-09
"145","UBE4B",0.430955339748196,1.7349890025888e-08
"146","KIF1B",0.605815187546306,8.84416793088318e-05
"147","LOC105376725",0.354891336614749,0.0464136819462835
"148","PGD",0.656931621408334,7.76970089210039e-06
"149","CENPS-CORT",-0.328361028167307,0.0613971613339275
"150","CENPS",-0.181490736328472,0.344561146115517
"151","DFFA",-0.274605310045085,0.00144012206229971
"152","PEX14",-0.327321684241537,0.000419957367289042
"153","CASZ1",0.204422910279961,0.0481656037077944
"154","C1orf127",-0.540108228569528,0.0454997966554812
"155","TARDBP",-0.0268905954947137,0.566270228844185
"156","MASP2",-0.102797817392833,0.335364673579657
"157","SRM",-0.52949280954724,4.6156990599072e-05
