Gene.symbol,logFC,P.Value
FAM49A,0.75328575,1.55304749798481e-07
HLA-DOB,0.961976686,1.57540015106764e-07
MYO1F,0.705489157,1.65950688747343e-07
JAML,1.089083871,1.70697660373017e-07
LILRA6,0.709694843,1.71441218210823e-07
LAYN,0.658982643,1.72714538075221e-07
PTPRC,1.333320086,1.73417943378891e-07
CARD16,0.683786307,1.73440247543265e-07
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,0.5953225,1.78422992863561e-07
SH2D1B,1.175690036,1.78747868690925e-07
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,0.633586214,1.79438296113908e-07
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,0.611239929,1.81634731653556e-07
CIITA,0.5920635,1.83445804711212e-07
LGALS9C///LGALS9B///LGALS9,0.684989979,1.83780196401303e-07
GRK3,0.623181807,1.92674922855443e-07
HLA-C///HLA-B///HLA-A///HLA-B///HLA-A,0.340281429,1.96329218399155e-07
SELPLG,1.004975036,2.04973899725085e-07
TYROBP,0.854046957,2.08704135650808e-07
CORO1A,1.011378221,2.13024452468931e-07
CTSS,1.120753507,2.19683435260278e-07
CD37,1.00287265,2.20251214715825e-07
ACKR1,1.092476086,2.20824154446253e-07
SPN,0.680162486,2.21906447147265e-07
HLA-DOB,0.923967886,2.23696609047275e-07
HLA-C///HLA-B///HLA-A///HLA-B///HLA-A,0.353902071,2.27900440699127e-07
APOL1,0.635573086,2.3458357704118e-07
EVI2B,1.066947436,2.376997855379e-07
WAS,0.464937443,2.43619385593591e-07
LCP2,0.970714679,2.50678758800303e-07
CX3CR1,1.173605807,2.59234130505899e-07
GIMAP1-GIMAP5///GIMAP5,0.730667179,2.7164882739955e-07
MIR223,0.733837793,2.8541835890678e-07
