"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-53","s-54","s-93","s-94","s-43","s-44","s-83","s-84"
"1","TMEM176B",40.0680937025845,2.48548555212522,0.567445026306086,4.38013452740093,1.18606063009208e-05,0.0198072125225377,17.1526822111666,49.2913438798793,10.2539797203864,43.614551678049,12.8919576939749,128.618680191035,8.38828751635029,50.3332667298346
"2","ANKRD36BP2",182.409987525024,1.37578401713207,0.336695789055876,4.08613372026389,4.38621048690909e-05,0.025092173220967,79.7599722819246,233.409010725311,122.258988973838,353.277868592197,86.3761165496318,251.520974595802,117.436025228904,215.240943252582
"3","FAM198B",19.2739779592096,3.91591708964902,0.95983222291,4.07979331822891,4.50757602771862e-05,0.025092173220967,1.71526822111666,17.3969448987809,1.57753534159791,17.4458206712196,4.51218519289121,98.6076548131269,1.67765750327006,11.2587570316735
"4","CFAP54",64.3431889330994,2.18214388773916,0.545758999598345,3.99836537619192,6.37814411143645e-05,0.0266287516652472,15.4374139900499,42.0426168387205,25.2405654655666,94.4981953024396,19.3379365409623,127.189583744468,32.7143213137661,158.284878268822
"5","DOCK4",60.0580544359618,2.06038901359592,0.604307251881361,3.409505689666,0.000650807203633826,0.122283306539989,18.8679504322833,86.9847244939046,14.9865857451802,60.3334631546345,40.6096667360209,184.35344160715,18.0348181601531,56.2937851583677
"6","FER1L4",26.4795284412375,1.76135679782353,0.504227959533914,3.49317558560547,0.000477312550962197,0.122283306539989,18.8679504322833,34.7938897975618,14.1978180743812,46.5221884565856,9.66896827048117,45.7310862901458,6.29121563726272,35.7631105711983
"7","LINC00202-1",25.713188679248,2.16031034178082,0.614678037819801,3.51453965956424,0.000440516888178858,0.122283306539989,8.5763411055833,31.8943989810983,11.0427473911854,15.2650930873172,7.73517461638494,71.4548223283528,10.0659450196204,49.6709869044421
"8","PF4",57.9356684174654,-3.52776918899618,1.03572493125098,-3.4060869662906,0.000659011831652637,0.122283306539989,39.4511690856832,0,177.472725929765,6.54218275170735,44.4772540442134,4.28728933970117,166.088092823736,25.1666333649173
"9","THEMIS",37.2578681714346,3.48021818433015,1.00868013640506,3.45026937551646,0.000560027438364508,0.122283306539989,8.5763411055833,85.5349790856728,1.57753534159791,13.8112746980489,9.66896827048117,164.346091355212,4.61355813399266,9.93419738088841
"10","CD7",43.0621646542467,2.58845680075937,0.769565045115809,3.36353218897806,0.000769518618216396,0.128509609242138,15.4374139900499,169.620212763114,7.09890903719061,45.0683700673173,16.7595450021674,64.3093400955176,9.64653064380284,16.556995634814
"11","LOC440461",24.8821461408809,2.22510047227467,0.67978969067919,3.27321891282513,0.00106330090406143,0.147976042481882,6.00343877390831,37.6933806140253,10.2539797203864,29.8032769800002,10.9581640398787,82.8875939008893,7.54945876471526,13.9078763332438
"12","RAD51",191.234931737345,-1.32581438605521,0.404952901682925,-3.27399650810087,0.00106037921659494,0.147976042481882,361.921594655615,159.471994905492,266.603472730047,110.490197584391,260.417545418293,64.3093400955176,204.674215398947,101.991093110454
"13","CENPW",73.938976525134,-1.58679873646066,0.503063944017518,-3.15426846891139,0.00160900994001948,0.161903287582374,174.957358553899,43.4923622469523,92.2858174834779,53.064371208293,106.358650975293,20.0073502519388,70.88102951316,30.4648719680578
"14","CLU",30.4328499381258,2.96751317042734,0.948381167316733,3.12903004898691,0.00175384371758284,0.161903287582374,8.5763411055833,152.223267864333,7.09890903719061,42.8876424834149,5.15678307758996,12.8618680191035,6.71063001308023,7.94735790471073
"15","EGR4",9.56259859711055,-2.71255267284877,0.856882378723396,-3.16560678595118,0.00154759844525331,0.161903287582374,20.5832186533999,2.89949081646349,26.8181008071645,2.9076367785366,14.1811534633724,1.42909644656706,5.03297250981018,2.64911930157024
"16","HIST1H2BB",107.648637542465,-1.88964792079902,0.608582724759964,-3.10499763453577,0.00190280546310637,0.161903287582374,295.026134032065,50.741089288111,193.248079345744,66.8756459063418,130.208772709146,24.29463959164,60.3956701177221,40.3990693489462
"17","HIST1H2BL",610.593982947118,-1.90875896614667,0.612899496228217,-3.1143098956569,0.00184375727162197,0.161903287582374,1576.33149520621,400.129732671961,1005.67878026867,351.097141008295,869.562546458607,105.753137045962,405.993115791354,170.205915125888
"18","INPP4B",42.8516918583208,2.74166489795745,0.857077949393852,3.19885128289256,0.00137976323973853,0.161903287582374,18.8679504322833,162.371485721955,10.2539797203864,23.988003422927,7.09057673168619,98.6076548131269,8.38828751635029,13.2455965078512
"19","LINC00989",12.1606067932786,-3.31951031456729,1.04953082093789,-3.16285167461866,0.00156231909597117,0.161903287582374,6.86107288446664,1.44974540823174,40.2271512107468,1.4538183892683,10.9581640398787,0,31.0366638104961,5.29823860314049
"20","ORC1",438.578483104084,-1.17763324157545,0.381735781378891,-3.0849433011536,0.00203590960432925,0.161903287582374,644.083217029306,408.828205121352,631.802904309964,291.490587048294,654.911450853925,177.207959374315,501.619593477747,198.683947617768
"21","RGS18",173.346925825067,-2.14072422027759,0.69212055777816,-3.09299325994553,0.00198148635484722,0.161903287582374,118.353507257049,14.4974540823174,377.8197143127,63.2410999331711,209.494312527092,65.7384365420846,425.705591454777,111.925290491343
"22","CTSL",36.6310332335349,2.52434898014453,0.829089332794529,3.04472495338465,0.00232893189292228,0.176787102780919,6.00343877390831,21.7461811234761,9.46521204958747,58.152735570732,20.6271323103598,150.055126889541,7.13004438889775,19.8683947617768
